Week,Tier,#,Player 1,Player 2,Date,Completed by,Game,Goal,Source goal,Time (mins),Completed at (mins into match),Order,Square type,Start VOD link,End VOD link,Match link,Created unixtime
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Mini & Max,MINI & MAX: Have 150+ shinies at once without obtaining the Shrink Potion,MINI & MAX: Have 150+ shinies at once without obtaining the Shrink Potion,8.3,85,16,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4815,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=5311,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,Rail Heist,RAIL HEIST: LAZY-COPS allowed; Beat Vengence! & The Final Score,RAIL HEIST: LAZY-COPS allowed; Beat Vengence! & The Final Score,15.3,142,25,Diagonal,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=7816,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=8731,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,General,"ROLE PLAYER: Level up all your characters 6 total times across Grimstone, Divers, Valbrace","ROLE PLAYER: Level up all your characters 6 total times across Grimstone, Divers, Valbrace",20.5,138.9,24,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=7319,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=8550,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,Golfaria,GOLFARIA: Collect 2 Holy Tee pieces,GOLFARIA: Collect 2 Holy Tee pieces,13.9,126.7,23,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=6979,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=7816,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,The Big Bell Race,THE BIG BELL RACE: Use KIWI-AURA; Win on 3 courses,THE BIG BELL RACE: Use KIWI-AURA; Win on 3 courses,4.7,71.1,12,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4197,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4480,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,General,Beat 2 levels in 6 games on this card,Beat 2 levels in 6 games on this card,6.2,66.4,9,Center,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3826,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4197,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Attactics,ATTACTICS: Have 3 Heroes at once (Ranked or Survival Mode),ATTACTICS: Have 3 Heroes at once (Ranked or Survival Mode),3.6,95.1,20,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=5702,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=5918,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,Hyper Contender,HYPER CONTENDER: Gold disk on Hard or Hyper Difficulty,HYPER CONTENDER: Gold disk on Hard or Hyper Difficulty,20.7,112.8,21,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=5740,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=6979,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,General,Defeat 2 bosses in 4 games on this card,Defeat 2 bosses in 4 games on this card,12.1,68.4,10,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3594,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4318,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Onion Delivery,ONION DELIVERY: Deliver 8+ onions and complete the day,ONION DELIVERY: Deliver 8+ onions and complete the day,2.1,2.1,1,Diagonal,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=213,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=337,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Caramel Caramel,CARAMEL CARAMEL: TEST-LENS allowed; Beat Ghost Planet without using the camera before the boss,CARAMEL CARAMEL: TEST-LENS allowed; Beat Ghost Planet without using the camera before the boss,4.7,56.4,6,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3311,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3594,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Rock On! Island,ROCK ON! ISLAND: CLUB-PASS allowed; Survive the first 5 waves of The Four Emperors w/o losing health,ROCK ON! ISLAND: CLUB-PASS allowed; Survive the first 5 waves of The Four Emperors w/o losing health,23.4,118.4,22,Diagonal,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=5918,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=7319,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
